ion m/z	ion identifier	ion names	KEGG pathways	m/z delta	formula	log2 fold change at t=0	p-value log2 fold change at t=0	adjusted p-value log2 fold change at t=0	log2 fold change at t=15	p-value log2 fold change at t=15	adjusted p-value log2 fold change at t=15	log2 fold change at t=30	p-value log2 fold change at t=30	adjusted p-value log2 fold change at t=30	log2 fold change at t=45	p-value log2 fold change at t=45	adjusted p-value log2 fold change at t=45	log2 fold change at t=60	p-value log2 fold change at t=60	adjusted p-value log2 fold change at t=60	log2 fold change at t=90	p-value log2 fold change at t=90	adjusted p-value log2 fold change at t=90	log2 fold change at t=120	p-value log2 fold change at t=120	adjusted p-value log2 fold change at t=120
60,99448	"C00288;C01353;"	"Bicarbonate;CarbonicDihydrogen carbonate;H2CO3;"	"Nitrogen metabolism; ABC transporters; "	"-0,0013659;-0,0013659;"	"CH2O3;H2CO3;"	-0,293	0,304	0,527	-0,234	0,327	0,545	-0,189	0,535	0,73	-0,795	0,052	0,205	-0,568	0,114	0,239	-0,444	0,056	0,159	-0,024	0,901	0,955
71,048748	"C01412;"	"Butanal;Butyraldehyde;"	"Butanoate metabolism; "	"0,0014862;"	"C4H8O;"	0,65	0,081	0,233	-0,289	0,231	0,439	-0,101	0,968	0,987	0,444	0,347	0,553	0,732	0,037	0,137	-0,368	0,236	0,401	0,453	0,053	0,176
73,018159	"C18091;"	"Ethylnitronate;"		"-0,0012358;"	"C2H4NO2;"	-0,823	0,547	0,733	-1,505	0,082	0,271	-0,85	0,647	0,8	-1,772	0,274	0,493	-1,642	0,022	0,099	-1,512	0,147	0,285	-2,027	0,052	0,176
80,965494	"C00094;"	"Sulfite;"	"Cysteine and methionine metabolism; Taurine and hypotaurine metabolism; Sulfur metabolism; "	"-0,00031;"	"H2O3S;"	1,389	0,069	0,209	0,684	0,156	0,369	0,871	0,153	0,377	0,465	0,693	0,819	1,734	0	0,011	1,17	0,03	0,119	0,172	0,496	0,68
84,035375	"C02659;"	"Acetonealpha-Hydroxyisobutyronitrile;2-Hydroxy-2-methylpropanenitrile;2-Methyllactonitrile;Acetone cyanhydrin;2-Hydroxyisobutyronitrile;"	"Cyanoamino acid metabolism; "	"0,010108;"	"C4H7NO;"	0,549	0,423	0,617	0,508	0,7	0,844	0,848	0,874	0,932	0,81	0,419	0,63	0,728	0,758	0,82	1,694	0,499	0,645	0,631	0,86	0,946
89,023495	"C00256;C00186;C00577;"	"D-Lactate;L-Lactate;D-Glyceraldehyde;"	"Pyruvate metabolism; Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Pyruvate metabolism; Propanoate metabolism; Styrene degradation; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Glycerolipid metabolism; "	"0,00091902;0,00091902;0,00091902;"	"C3H6O3;C3H6O3;C3H6O3;"	-1,064	0,023	0,117	-1,503	0	0,006	-1,341	0,018	0,126	-1,621	0,007	0,073	-0,336	0,287	0,428	-1,115	0,003	0,031	-0,929	0,002	0,037
98,059806	"C18796;"	"(2R)-2-Hydroxy-2-methylbutanenitrile;2-Hydroxy-2-methylbutanenitrile;"	"Cyanoamino acid metabolism; "	"0,0013277;"	"C5H9NO;"	1,024	0,003	0,046	0,755	0,001	0,023	0,946	0	0,008	1,213	0,002	0,032	1,014	0,004	0,038	1,084	0,004	0,035	1,116	0,103	0,244
101,022749	"C00349;C00109;C00232;C00164;C06002;"	"2-Methyl-3-oxopropanoate;2-Oxobutanoate;Succinic semialdehyde;Acetoacetate;3-Oxobutanoic acid;beta-Ketobutyric acid;Acetoacetic acid;(S)-Methylmalonate;"	"Valine, leucine and isoleucine degradation; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine biosynthesis; Propanoate metabolism; C5-Branched dibasic acid metabolism; Alanine, aspartate and glutamate metabolism; Tyrosine metabolism; Butanoate metabolism; Vitamin B6 metabolism; Nicotinate and nicotinamide metabolism; Quorum sensing; Synthesis and degradation of ketone bodies; Valine, leucine and isoleucine degradation; Lysine degradation; Tyrosine metabolism; Propanoate metabolism; Styrene degradation; Butanoate metabolism; Two-component system; Valine, leucine and isoleucine degradation; Nitrotoluene degradation; Propanoate metabolism; "	"0,0016651;0,0016651;0,0016651;0,0016651;0,0016651;"	"C4H6O3;C4H6O3;C4H6O3;C4H6O3;C4H6O3;"	-1,6	0	0,007	-0,536	0,135	0,351	-0,468	0,206	0,451	-1,06	0,047	0,189	0,352	0,468	0,602	-0,281	0,135	0,269	-0,179	0,547	0,717
102,056242	"C00334;C01026;C03284;"	"4-Aminobutanoate;N,N-Dimethylglycine;L-3-Amino-isobutanoate;(S)-3-Amino-isobutyrate;L-3-Amino-isobutyrate;(S)-3-Amino-isobutanoate;(S)-3-Amino-2-methylpropanoate;"	"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; beta-Alanine metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; Quorum sensing; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation; "	"-0,00019366;-0,00019366;-0,00019366;"	"C4H9NO2;C4H9NO2;C4H9NO2;"	-0,315	0,143	0,323	-0,086	0,441	0,644	-0,28	0,135	0,358	-0,128	0,753	0,858	-0,737	0,001	0,018	-0,08	0,868	0,925	0,203	0,353	0,567
103,003415	"C01146;C00168;C00383;"	"2-Hydroxy-3-oxopropanoate;Hydroxypyruvate;Malonate;"	"Ascorbate and aldarate metabolism; Glyoxylate and dicarboxylate metabolism; Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Pyrimidine metabolism; beta-Alanine metabolism; "	"0,0002631;0,0002631;0,0002631;"	"C3H4O4;C3H4O4;C3H4O4;"	-1,004	0,016	0,1	-0,624	0,029	0,174	-1,255	0,01	0,094	-1,166	0,005	0,054	-1,133	0,022	0,099	-0,947	0,008	0,048	0,606	0,689	0,825
104,034021	"C00740;C00065;"	"D-Serine;L-Serine;"	"Glycine, serine and threonine metabolism; Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Cyanoamino acid metabolism; Sphingolipid metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Sulfur metabolism; Aminoacyl-tRNA biosynthesis; ABC transporters; "	"0,0012919;0,0012919;"	"C3H7NO3;C3H7NO3;"	0,018	0,836	0,907	-0,713	0,123	0,333	-0,402	0,278	0,518	-0,427	0,311	0,53	-0,409	0,268	0,416	-0,228	0,369	0,531	-0,373	0,358	0,573
112,039111	"C03912;"	"1-Pyrroline-5-carboxylate;"	"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Carbapenem biosynthesis; "	"0,0012874;"	"C5H7NO2;"	0,827	0,002	0,033	0,849	0,002	0,03	1,105	0	0,003	1,339	0	0,001	1,165	0	0,011	1,43	0	0,004	1,411	0,023	0,121
112,937919	"C00320;"	"Thiosulfate;"	"Cysteine and methionine metabolism; Sulfur metabolism; ABC transporters; "	"-0,00066393;"	"H2O3S2;"	0,341	0,195	0,399	0,239	0,189	0,402	0,175	0,452	0,679	0,35	0,493	0,687	0,277	0,299	0,441	0,249	0,25	0,414	-0,15	0,806	0,903
