ion m/z	ion identifier	ion names	KEGG pathways	m/z delta	formula	normalized intensity control at t=0 (replicate A)	normalized intensity control at t=0 (replicate B)	normalized intensity control at t=0 (replicate C)	normalized intensity control at t=0 (replicate D)	normalized intensity control at t=15 (replicate A)	normalized intensity control at t=15 (replicate B)	normalized intensity control at t=15 (replicate C)	normalized intensity control at t=15 (replicate D)	normalized intensity control at t=30 (replicate A)	normalized intensity control at t=30 (replicate B)	normalized intensity control at t=30 (replicate C)	normalized intensity control at t=30 (replicate D)	normalized intensity control at t=45 (replicate A)	normalized intensity control at t=45 (replicate B)	normalized intensity control at t=45 (replicate C)	normalized intensity control at t=45 (replicate D)	normalized intensity control at t=60 (replicate A)	normalized intensity control at t=60 (replicate B)	normalized intensity control at t=60 (replicate C)	normalized intensity control at t=60 (replicate D)	normalized intensity control at t=90 (replicate A)	normalized intensity control at t=90 (replicate B)	normalized intensity control at t=90 (replicate C)	normalized intensity control at t=90 (replicate D)	normalized intensity control at t=120 (replicate A)	normalized intensity control at t=120 (replicate B)	normalized intensity control at t=120 (replicate C)	normalized intensity control at t=120 (replicate D)	normalized intensity Map condition at t=0 (replicate A)	normalized intensity Map condition at t=0 (replicate B)	normalized intensity Map condition at t=0 (replicate C)	normalized intensity Map condition at t=15 (replicate A)	normalized intensity Map condition at t=15 (replicate B)	normalized intensity Map condition at t=15 (replicate C)	normalized intensity Map condition at t=30 (replicate A)	normalized intensity Map condition at t=30 (replicate B)	normalized intensity Map condition at t=30 (replicate C)	normalized intensity Map condition at t=45 (replicate A)	normalized intensity Map condition at t=45 (replicate B)	normalized intensity Map condition at t=45 (replicate C)	normalized intensity Map condition at t=60 (replicate A)	normalized intensity Map condition at t=60 (replicate B)	normalized intensity Map condition at t=60 (replicate C)	normalized intensity Map condition at t=90 (replicate A)	normalized intensity Map condition at t=90 (replicate B)	normalized intensity Map condition at t=90 (replicate C)	normalized intensity Map condition at t=120 (replicate A)	normalized intensity Map condition at t=120 (replicate B)	normalized intensity Map condition at t=120 (replicate C)
60,99448	"C00288;C01353;"	"Bicarbonate;CarbonicDihydrogen carbonate;H2CO3;"	"Nitrogen metabolism; ABC transporters; "	"-0,0013659;-0,0013659;"	"CH2O3;H2CO3;"	5265,146	5479,703	8687,593	6383,775	6008,64	8759,339	5793,285	5743,024	6606,72	6170,27	6008,64	10194,26	5850,368	6331,236	8532,627	11710,076	6170,27	10910,558	6060,281	8857,778	6956,283	7505,789	6899,331	9519,89	6784,146	8759,339	6008,64	4524,713	6547,782	4099,259	5153,345	6221,166	4646,607	5903,547	5534,838	4472,211	9053,155	3905,258	4524,713	5585,042	5743,024	4224,542	6221,166	6487,74	4583,734	5954,75	5204,805	4883,859	9150,73
71,048748	"C01412;"	"Butanal;Butyraldehyde;"	"Butanoate metabolism; "	"0,0014862;"	"C4H8O;"	1090,849	1645,874	1981,903	1315,732	2060,492	2419,272	1867,742	1867,742	3016,164	2101,151	1573,613	1090,849	1411,597	2368,072	1055,874	1157,231	1476,779	1224,518	913,091	785,327	1347,497	1714,424	1090,849	1510,972	1252,495	1347,497	913,091	1378,471	1749,51	3076,797	2276,128	2060,492	1157,231	1826,456	2186,359	1645,874	1609,073	2101,151	2786,581	1224,518	1510,972	2101,151	1867,742	1347,497	1252,495	692,339	1826,456	1445,852	1749,51
73,018159	"C18091;"	"Ethylnitronate;"		"-0,0012358;"	"C2H4NO2;"	1749,51	1157,231	204,945	2570,057	487,946	1055,874	1573,613	2019,415	295,727	2019,415	204,945	986,079	1510,972	204,945	3268,716	913,091	2468,957	1124,477	2276,128	1124,477	487,946	913,091	3076,797	1541,257	827,83	544,963	1714,424	2895,158	1510,972	204,945	692,339	367,432	204,945	785,327	426,015	204,945	827,83	204,945	544,963	544,963	295,727	644,737	740,812	426,015	204,945	951,594	295,727	204,945	599,883
80,965494	"C00094;"	"Sulfite;"	"Cysteine and methionine metabolism; Taurine and hypotaurine metabolism; Sulfur metabolism; "	"-0,00031;"	"H2O3S;"	1190,065	986,079	2726,287	1680,267	1680,267	1090,849	2228,98	1510,972	1788,828	1904,165	2228,98	2019,415	1714,424	1826,456	1714,424	2786,581	1022,926	1347,497	1680,267	1411,597	740,812	1411,597	1680,267	2228,98	1645,874	1090,849	1943,728	1252,495	1867,742	5265,146	5793,285	1573,613	2621,185	3650,445	5427,675	3784,446	1680,267	5265,146	1680,267	1378,471	5153,345	3650,445	4821,525	3529,499	3972,678	2726,287	1476,779	1476,779	2060,492
84,035375	"C02659;"	"Acetonealpha-Hydroxyisobutyronitrile;2-Hydroxy-2-methylpropanenitrile;2-Methyllactonitrile;Acetone cyanhydrin;2-Hydroxyisobutyronitrile;"	"Cyanoamino acid metabolism; "	"0,010108;"	"C4H7NO;"	295,727	599,883	100,852	692,339	204,945	487,946	913,091	487,946	599,883	544,963	487,946	599,883	367,432	785,327	544,963	204,945	487,946	692,339	599,883	544,963	827,83	100,852	644,737	295,727	295,727	295,727	426,015	740,812	913,091	295,727	644,737	295,727	426,015	1510,972	204,945	487,946	2320,272	487,946	367,432	1645,874	100,852	367,432	2419,272	204,945	426,015	3905,258	204,945	295,727	1541,257
89,023495	"C00256;C00186;C00577;"	"D-Lactate;L-Lactate;D-Glyceraldehyde;"	"Pyruvate metabolism; Glycolysis / Gluconeogenesis; Fructose and mannose metabolism; Pyruvate metabolism; Propanoate metabolism; Styrene degradation; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Glycerolipid metabolism; "	"0,00091902;0,00091902;0,00091902;"	"C3H6O3;C3H6O3;C3H6O3;"	35722,016	32203,252	40298,794	25275,422	37059,876	35722,016	37778,723	31696,752	40298,794	30261,908	40298,794	28476,175	33909,423	45425,129	21465,657	31205,466	26869,418	31205,466	21175,657	30708,154	28476,175	34463,509	21175,657	24125,481	31696,752	32203,252	28476,175	24401,844	11824,371	11119,409	24943,198	10101,574	13848,05	13699,069	7647,967	10301,013	23303,629	6725,551	14464,787	11007,798	33909,423	13699,069	17732,538	14464,787	12418,66	10602,959	18534,377	13162,691	14316,423
98,059806	"C18796;"	"(2R)-2-Hydroxy-2-methylbutanenitrile;2-Hydroxy-2-methylbutanenitrile;"	"Cyanoamino acid metabolism; "	"0,0013277;"	"C5H9NO;"	2955,287	2570,057	2368,072	1943,728	2621,185	2468,957	2368,072	3129,838	2842,579	2514,257	2621,185	2368,072	2468,957	2842,579	2228,98	2019,415	2621,185	2468,957	2419,272	2468,957	2726,287	2570,057	2621,185	2895,158	2895,158	2468,957	2468,957	2570,057	6008,64	4583,734	4410,701	4646,607	4167,492	4583,734	4765,777	4646,607	5534,838	4224,542	5793,285	6606,72	4037,444	4410,701	6669,24	4938,635	4472,211	7784,482	2419,272	5534,838	8961,017
101,022749	"C00349;C00109;C00232;C00164;C06002;"	"2-Methyl-3-oxopropanoate;2-Oxobutanoate;Succinic semialdehyde;Acetoacetate;3-Oxobutanoic acid;beta-Ketobutyric acid;Acetoacetic acid;(S)-Methylmalonate;"	"Valine, leucine and isoleucine degradation; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine biosynthesis; Propanoate metabolism; C5-Branched dibasic acid metabolism; Alanine, aspartate and glutamate metabolism; Tyrosine metabolism; Butanoate metabolism; Vitamin B6 metabolism; Nicotinate and nicotinamide metabolism; Quorum sensing; Synthesis and degradation of ketone bodies; Valine, leucine and isoleucine degradation; Lysine degradation; Tyrosine metabolism; Propanoate metabolism; Styrene degradation; Butanoate metabolism; Two-component system; Valine, leucine and isoleucine degradation; Nitrotoluene degradation; Propanoate metabolism; "	"0,0016651;0,0016651;0,0016651;0,0016651;0,0016651;"	"C4H6O3;C4H6O3;C4H6O3;C4H6O3;C4H6O3;"	22275,203	29326,215	20889,51	21175,657	19429,782	23036,673	18961,066	18961,066	21465,657	24125,481	18143,239	18143,239	21175,657	29326,215	15135,679	16588,741	20372,858	24657,653	14464,787	17945,935	20372,858	20372,858	16005,385	16005,385	20889,51	24401,844	15135,679	15279,027	7137,774	7580,358	8455,93	7256,085	18728,925	15605,152	7381,784	13162,691	23844,57	5204,805	12899,375	11470,152	36390,623	14980,585	22781,13	16005,385	16375,671	12536,373	22781,13	16775,321	10602,959
102,056242	"C00334;C01026;C03284;"	"4-Aminobutanoate;N,N-Dimethylglycine;L-3-Amino-isobutanoate;(S)-3-Amino-isobutyrate;L-3-Amino-isobutyrate;(S)-3-Amino-isobutanoate;(S)-3-Amino-2-methylpropanoate;"	"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; beta-Alanine metabolism; Butanoate metabolism; Nicotinate and nicotinamide metabolism; Quorum sensing; Glycine, serine and threonine metabolism; Valine, leucine and isoleucine degradation; "	"-0,00019366;-0,00019366;-0,00019366;"	"C4H9NO2;C4H9NO2;C4H9NO2;"	11594,325	13293,728	10602,959	9898,467	9999,509	9722,271	11007,798	9243,609	10703,245	14804,855	10407,412	12899,375	14156,772	6725,551	11007,798	12068,386	14632,005	11824,371	12418,66	11119,409	10101,574	8961,017	15135,679	15135,679	13848,05	9243,609	12899,375	13699,069	7256,085	11347,143	8759,339	10703,245	9243,609	8294,922	9243,609	10407,412	10505,874	7505,789	12658,182	9999,509	7381,784	7188,258	7924,65	11229,814	11824,371	11952,761	16375,671	11710,076	14804,855
103,003415	"C01146;C00168;C00383;"	"2-Hydroxy-3-oxopropanoate;Hydroxypyruvate;Malonate;"	"Ascorbate and aldarate metabolism; Glyoxylate and dicarboxylate metabolism; Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Pyrimidine metabolism; beta-Alanine metabolism; "	"0,0002631;0,0002631;0,0002631;"	"C3H4O4;C3H4O4;C3H4O4;"	1252,495	1609,073	1157,231	1826,456	1157,231	1411,597	1378,471	1541,257	951,594	1645,874	1826,456	1680,267	1476,779	1867,742	1190,065	1788,828	1867,742	2621,185	1826,456	2514,257	1826,456	2320,272	2101,151	2570,057	1680,267	3590,452	3016,164	4037,444	487,946	869,954	827,83	740,812	740,812	1190,065	827,83	544,963	544,963	599,883	913,091	599,883	1285,491	544,963	1190,065	1378,471	827,83	1224,518	12288,663	1090,849	692,339
104,034021	"C00740;C00065;"	"D-Serine;L-Serine;"	"Glycine, serine and threonine metabolism; Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Cyanoamino acid metabolism; Sphingolipid metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Sulfur metabolism; Aminoacyl-tRNA biosynthesis; ABC transporters; "	"0,0012919;0,0012919;"	"C3H7NO3;C3H7NO3;"	869,954	1022,926	1252,495	1124,477	1285,491	2186,359	1124,477	1285,491	1157,231	1541,257	1378,471	1445,852	1645,874	986,079	1224,518	2060,492	1645,874	1378,471	1285,491	1055,874	1157,231	1541,257	1285,491	1573,613	2368,072	1224,518	1224,518	1714,424	869,954	692,339	1680,267	644,737	599,883	1445,852	367,432	785,327	1981,903	426,015	644,737	2228,98	599,883	487,946	1943,728	544,963	544,963	2468,957	869,954	544,963	2368,072
112,039111	"C03912;"	"1-Pyrroline-5-carboxylate;"	"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Carbapenem biosynthesis; "	"0,0012874;"	"C5H7NO2;"	12899,375	10824,496	10703,245	11470,152	11594,325	10407,412	10910,558	11229,814	9519,89	10101,574	9814,399	10505,874	9999,509	10703,245	11229,814	9519,89	9999,509	10602,959	9336,569	10407,412	9814,399	10407,412	10194,26	10407,412	10194,26	9898,467	8759,339	8455,93	23548,513	20372,858	17131,574	23303,629	16179,584	20131,453	23548,513	21465,657	19429,782	25275,422	25275,422	28078,326	19667,392	20889,51	27273,603	23303,629	25275,422	33909,423	12418,66	24943,198	37059,876
