# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-M" "-O" "--primary" "-a" "dualGenome.gff3" "-t" "gene" "-o" "countData.tsv" "-g" "ID" "SRR13160334_sorted.bam" "SRR13160327_sorted.bam" "SRR13160337_sorted.bam" "SRR13160328_sorted.bam" "SRR13160329_sorted.bam" "SRR13160336_sorted.bam" "SRR13160338_sorted.bam" "SRR13160331_sorted.bam" "SRR13160330_sorted.bam" "SRR13160335_sorted.bam" "SRR13160332_sorted.bam" "SRR13160333_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13160334_sorted.bam	SRR13160327_sorted.bam	SRR13160337_sorted.bam	SRR13160328_sorted.bam	SRR13160329_sorted.bam	SRR13160336_sorted.bam	SRR13160338_sorted.bam	SRR13160331_sorted.bam	SRR13160330_sorted.bam	SRR13160335_sorted.bam	SRR13160332_sorted.bam	SRR13160333_sorted.bam
gene-PA0001	NC_002516.2	483	2027	+	1545	132	819	197	1042	742	11	132	156	758	164	686	356
gene-PA0002	NC_002516.2	2056	3159	+	1104	94	371	105	593	479	9	62	95	410	72	384	147
gene-PA0003	NC_002516.2	3169	4278	+	1110	196	954	238	1200	948	19	148	166	905	198	909	500
gene-PA0004	NC_002516.2	4275	6695	+	2421	339	1488	509	2562	2129	39	323	467	2078	405	2345	742
gene-PA0005	NC_002516.2	7018	7791	-	774	20	108	34	130	108	4	23	19	116	26	89	50
gene-PA0006	NC_002516.2	7803	8339	-	537	33	100	21	110	96	3	18	16	95	27	87	48
gene-PA0007	NC_002516.2	8671	10377	+	1707	22	71	25	77	76	2	19	9	66	17	37	43
gene-PA0008	NC_002516.2	10434	12488	-	2055	68	310	104	601	451	10	60	136	408	82	503	112
gene-PA0009	NC_002516.2	12488	13435	-	948	35	114	28	186	176	4	18	67	137	46	179	52
gene-PA0010	NC_002516.2	13540	14091	+	552	3	24	5	18	13	0	2	4	19	0	11	12
gene-PA0011	NC_002516.2	14235	15122	+	888	26	159	42	205	131	2	20	29	136	24	135	71
gene-PA0012	NC_002516.2	15207	15473	+	267	5	22	8	45	25	0	6	5	35	3	20	6
gene-PA0013	NC_002516.2	15620	16273	+	654	78	288	75	316	218	4	31	34	311	61	209	103
gene-PA0014	NC_002516.2	16335	16607	-	273	8	32	11	34	36	0	4	3	33	3	34	16
gene-PA0015	NC_002516.2	16900	17217	-	318	15	81	18	116	105	0	11	26	83	16	80	18
gene-PA0016	NC_002516.2	17366	18739	-	1374	42	203	33	302	309	3	33	55	242	26	215	55
gene-PA0017	NC_002516.2	18767	20071	-	1305	15	109	21	186	174	0	16	31	87	16	92	13
gene-PA0018	NC_002516.2	20068	21012	-	945	10	53	11	88	99	3	9	18	48	9	60	14
gene-PA0019	NC_002516.2	21067	21573	-	507	64	278	45	346	334	7	49	65	250	65	280	106
gene-PA0020	NC_002516.2	21712	22737	+	1026	90	487	122	690	496	9	104	91	547	87	405	142
gene-PA0021	NC_002516.2	22872	23960	+	1089	3	8	1	12	8	0	0	0	13	0	5	1
gene-PA0022	NC_002516.2	24001	24558	+	558	58	154	53	216	221	1	30	45	209	31	181	57
gene-PA0023	NC_002516.2	24568	25545	-	978	19	122	31	114	115	0	22	20	109	17	74	47
gene-PA0024	NC_002516.2	25736	26653	+	918	38	367	43	373	337	4	26	35	324	36	173	78
gene-PA0025	NC_002516.2	26711	27535	+	825	17	236	24	223	171	2	15	21	118	17	90	19
gene-PA0026	NC_002516.2	27646	28632	+	987	27	82	18	109	76	1	14	10	106	9	57	30
gene-PA0027	NC_002516.2	28613	29899	+	1287	12	81	22	121	76	0	10	10	104	9	74	16
gene-PA0028	NC_002516.2	29896	30498	+	603	8	19	8	46	22	1	3	11	46	2	26	11
gene-PA0029	NC_002516.2	30502	32055	-	1554	8	21	5	40	22	1	6	8	56	7	27	7
gene-PA0030	NC_002516.2	32060	32983	-	924	5	11	5	13	8	0	4	9	13	8	12	6
gene-PA0031	NC_002516.2	33000	34511	-	1512	33	37	28	131	83	3	13	29	83	37	77	30
gene-PA0032	NC_002516.2	34624	35538	+	915	7	64	19	75	50	0	12	10	58	10	50	19
gene-PA0032a	NC_002516.2	35549	35926	+	378	13	60	15	64	49	0	6	11	54	3	55	25
gene-PA0033	NC_002516.2	35905	36270	-	366	8	41	11	57	44	0	5	8	49	5	37	7
gene-PA0034	NC_002516.2	36278	36901	-	624	4	46	10	28	34	2	6	5	38	4	28	7
gene-PA0035	NC_002516.2	37087	37893	-	807	20	46	11	55	46	0	4	11	58	9	46	13
gene-PA0036	NC_002516.2	37890	39098	-	1209	26	85	25	136	102	3	11	15	112	21	102	41
gene-PA0037	NC_002516.2	39202	40089	+	888	12	52	19	103	61	0	10	5	38	6	29	9
gene-PA0038	NC_002516.2	40190	40405	+	216	24	166	26	109	75	2	15	41	159	31	155	65
gene-PA0039	NC_002516.2	40589	40816	+	228	172	716	278	924	540	8	176	113	990	149	710	342
gene-PA0040	NC_002516.2	41113	42801	+	1689	14	56	18	69	82	2	6	21	86	12	53	14
gene-PA0041	NC_002516.2	42914	53521	+	10608	189	767	174	1005	832	12	111	184	835	101	790	220
gene-PA0041a	NC_002516.2	54121	54822	+	702	12	118	12	133	56	3	7	8	71	17	40	20
gene-PA0042	NC_002516.2	56546	56941	+	396	21	114	27	138	68	0	12	17	98	21	63	31
gene-PA0043	NC_002516.2	57212	58594	-	1383	6	20	12	48	34	0	6	9	26	4	28	8
gene-PA0044	NC_002516.2	58786	60159	+	1374	59	220	65	626	436	4	49	99	310	52	427	69
gene-PA0045	NC_002516.2	60656	61342	+	687	40	170	61	356	330	4	46	77	271	52	469	92
gene-PA0046	NC_002516.2	61373	61726	+	354	50	200	48	291	274	3	43	83	194	32	356	93
gene-PA0047	NC_002516.2	61879	62388	+	510	47	125	42	229	202	0	21	60	214	20	278	30
gene-PA0048	NC_002516.2	62403	62786	-	384	10	35	10	61	62	3	7	18	59	5	81	18
gene-PA0049	NC_002516.2	63068	64729	-	1662	17	27	12	49	51	1	16	15	66	9	64	12
gene-PA0050	NC_002516.2	65339	65479	+	141	5	20	6	23	17	0	3	11	20	3	28	8
gene-PA0051	NC_002516.2	66303	68135	+	1833	6	10	3	16	12	0	2	0	17	4	15	7
gene-PA0052	NC_002516.2	68188	68616	-	429	1	5	3	3	5	0	0	1	6	3	2	1
gene-PA0054	NC_002516.2	69543	70091	-	549	26	72	23	114	71	2	19	23	91	22	71	29
