cluster_assessed	protein_assessed	GNATlike	Vcleft	Bhelix	Ploop	identified_through	final_assessment
ncbi_uid_33284795	ncbi_uid_33284795	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_82657975	ncbi_uid_82657975	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_114796469	ncbi_uid_114796469	yes	yes	no	yes	acetyltransferase annotation	possible acetyltransferase (GNAT)
ncbi_uid_164609429	ncbi_uid_164609429	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_164609589	ncbi_uid_164609589	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_164609590	ncbi_uid_164609590	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_164609266	ncbi_uid_189490201	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_225594847	ncbi_uid_225594847	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_271277989	ncbi_uid_271277989	yes	yes	no	yes	structural similarity	possible acetyltransferase (GNAT)
ncbi_uid_371671609	ncbi_uid_371671609	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_371767363	ncbi_uid_371767363	no	NA	NA	NA	acetyltransferase annotation	likely acetyltransferase (LPS/O-acetyltransferase)
ncbi_uid_372001331	ncbi_uid_372001331	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
ncbi_uid_383389766	ncbi_uid_383389766	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_383389891	ncbi_uid_383389891	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_383389898	ncbi_uid_383389898	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_383389928	ncbi_uid_388685022	yes	yes	yes	yes	acetyltransferase annotation	likely acetyltransferase (GNAT)
ncbi_uid_403219654	ncbi_uid_403219654	yes	yes	yes	yes	structural similarity	likely acetyltransferase (GNAT)
